"Country","Landscape","AnnualCropProduction","PermanentCropProduction","LivestockByproductProduction","LivestockProduction","CropByproductProduction","TotalAgriculturalProduction","Production_Inequality_Gini"
"GHA","L01",433.123126687836,0,17.6555776478618,111.832099296673,0,562.610803632371,0.585016241564322
"GHA","L02",1197.20561177553,61.5608708984974,7.54216498006746,109.98695806136,0,1376.29560571545,0.452669652615478
"GHA","L03",1838.98344066237,0,7.47086783195339,47.9132168046611,0,1894.36752529899,0.568927493838897
"GHA","L04",352.058417663293,282.829331988011,36.6427278392735,73.9927392151626,85.0044761650394,830.52769287078,0.58536068998066
"GHA","L05",1056.52790555044,1320.68000613309,7.229377491567,44.1965654707145,1124.5016865992,3553.13554124502,0.682160408454179
"GHA","L06",279.087265080825,367.328164016297,26.7304069741972,23.7687581704316,492.252595610461,1189.16718985221,0.945258531574131
"RWA","L01",138.639970072189,29.9193292004451,52.0684310920362,55.0011921793038,2.0402426747205,282.46327539616,0.428402888416441
"RWA","L02",332.198358766492,12.8755364806867,64.2068033698935,13.5709744078843,9.57161023684629,432.423283261803,0.490287129085472
"RWA","L03",151.56970274996,68.0336989349865,21.2303290414878,37.8139405499921,29.223096487045,307.870767763472,0.379311825514225
"RWA","L04",125.867906533143,42.3204577968527,50.0286123032904,108.190271816881,2.74201239866476,329.149260848832,0.54039812080874
"RWA","L06",177.088823632759,116.447757880716,43.6608948744512,93.2181441468107,28.1217330061122,463.475047048008,0.448463070013958
"RWA","L07",137.282228580512,60.8671117469401,23.6647591797806,37.3526333916177,6.76839930058814,265.935132199438,0.535638352143129
"TZA","L03",241.982707215265,8.15742397137746,45.2653548002385,184.284445603922,0,479.689931590804,0.558277082145974
"TZA","L10",135.204233750745,3.7567084078712,22.9830053667263,42.6958216202402,0,204.639769145583,0.455106916692149
"TZA","L11",210.971973762671,18.5602265951103,16.4892665474061,47.5359911406423,0,293.55745804583,0.521176309677504
"TZA","L18",254.970242190725,9.31723315444246,47.5805008944544,66.7279533558603,0,344.427721205449,0.491894136465681
"TZA","L19",588.473875763371,86.3118664281455,13.7611806797853,29.8087965723625,0,722.834403708502,0.533143216055605
"TZA","L20",1314.75849731664,40.5485986881336,235.933214072749,581.265254627658,0,2172.50556470518,0.490969838369716
"TZA","L22",254.259093619559,6.97674418604651,10.5724508050089,38.1567796147403,0,309.965068225354,0.424660869398954
"UGA","L01",141.264719517849,59.0913305516922,43.8256838201205,68.4224120802702,0.890125173852573,313.494271143784,0.378519501279898
"UGA","L02",97.5076495132128,194.962447844228,42.2722021325916,98.5300532534654,0.830319888734353,434.102672632232,0.421273708240142
"UGA","L03",192.642095503013,180.792767732962,97.6810384793695,55.2619378766806,2.17246175243394,528.55030134446,0.474132292707344
"UGA","L04",278.0825859671,14.4635748884946,6.05630425399261,28.998360455269,1.00618675363292,328.607012318489,0.551811456595595
"UGA","L06",502.528511821975,115.74501622624,14.4561798794622,74.2808942461237,7.55401019935095,714.564612373152,0.500591069077103
"UGA","L07",94.993973110802,77.6782568382012,12.0917941585535,68.7306002605029,1.64673157162726,255.141355939687,0.53434043964864
