"Country","Landscape","Household_ID","Round","shortage_year","number_meals","diversity","Nonfood_Spending","Food_Consumption_Value","Food_Spending","Food_As_Percent_Total_Spending","Rate"
"GHA","L01","13sx7zZ45L7","1",FALSE,3,0.585714285714286,760.389140194761,563.610855565777,673.934682612695,46.9862294620177,4.348
"GHA","L01","5xb8kqgFVh9","1",FALSE,3,0.7,2060.36176175073,143.900643974241,508.448942042318,19.7931650351485,4.348
"GHA","L01","87qeDKg8sj5","1",FALSE,3,0.614285714285714,175.363304914808,1091.24655013799,299.793008279669,63.0935546797558,4.348
"GHA","L01","aEPhhDYMsKA","1",FALSE,3,0.657142857142857,660.680641345775,395.726770929163,826.229530818767,55.56687594759,4.348
"GHA","L01","bnNcJ3bknL7","1",FALSE,3,0.714285714285714,1180.44378685682,503.652253909844,1235.14719411224,51.1322986318129,4.348
"GHA","L01","dQNLmp8vbx7","1",FALSE,3,0.571428571428571,264.32747298403,125.913063477461,413.714351425943,61.0160518911874,4.348
"GHA","L01","dVULAjf4W89","1",FALSE,3,0.571428571428571,83.9429198868912,0,401.722631094756,82.7158999197653,4.348
"GHA","L01","e4zTqWoHTi","1",FALSE,3,0.442857142857143,775.578249865397,299.793008279669,581.598436062558,42.8535534166575,4.348
"GHA","L01","EAdeyuGhu85","1",FALSE,4,0.685714285714286,4208.50408896087,419.710211591536,2164.50551977921,33.9636318264884,4.348
"GHA","L01","EmjTzkKPcK4","1",FALSE,3,0.8,4199.98571725334,6805.30128794848,2973.94664213431,41.4549021812657,4.348
"GHA","L01","FcfWcnPR1A6","1",FALSE,3,0.6,1024.49828937718,0,1235.14719411224,54.6611051661468,4.348
"GHA","L01","GEgBv7HAf68","1",FALSE,4,0.514285714285714,983.987209543876,359.751609935603,311.784728610856,24.0616978520818,4.348
"GHA","L01","hy4613HYBr3","1",FALSE,3,0.685714285714286,681.838747832575,389.730910763569,623.569457221711,47.7681582517539,4.348
"GHA","L01","jR5EnTkAqM3","1",FALSE,2,0.528571428571429,1232.1049605942,335.768169273229,491.660533578657,28.522472183177,4.348
"GHA","L01","k8zEL6BmKHB","1",TRUE,3,0.428571428571429,317.522390717275,203.859245630175,407.71849126035,56.2183546725278,4.348
